"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ATG4B"," ATG4B","ENSG00000168397",23192,"protein_coding","Human","2",241.637213,"autophagy related 4B cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20790]",52.33,26,36645,579,1100,110,637,7
"FER"," FER","ENSG00000151422",2241,"protein_coding","Human","5",108.747841,"FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]",35.73,9,449001,1330,2475,109,2386,9
"CDC25C"," CDC25C","ENSG00000158402",995,"protein_coding","Human","5",138.285269,"cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]",44.08,9,53087,1014,1369,188,195,10
"FYN"," FYN","ENSG00000010810",2534,"protein_coding","Human","6",111.660332,"FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]",42.42,29,213121,778,1165,91,931,7
"FRK"," FRK","ENSG00000111816",2444,"protein_coding","Human","6",115.931149,"fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]",36.89,1,129743,1518,13363,580,11265,8
"KAT6A"," KAT6A","ENSG00000083168",7994,"protein_coding","Human","8",41.929479,"lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]",38.89,17,122516,3579,4588,217,1498,10
"LYN"," LYN","ENSG00000254087",4067,"protein_coding","Human","8",55.879835,"LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]",43.2,4,134335,1155,3198,108,4058,9
"ADAM10"," ADAM10","ENSG00000137845",102,"protein_coding","Human","15",58.588809,"ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]",37.34,17,160983,513,1607,164,2271,5
"CSK"," CSK","ENSG00000103653",1445,"protein_coding","Human","15",74.78208,"C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]",56.61,14,21118,798,1104,187,570,7
"HCK"," HCK","ENSG00000101336",3055,"protein_coding","Human","20",32.052197,"HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]",48.11,8,49660,1146,1872,160,218,12
"LARGE"," LARGE1","ENSG00000133424",9215,"protein_coding","Human","22",33.162226,"LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]",43.98,32,760616,1774,3232,130,1494,11
"(5-HT2C)",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(5-HT7)",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[ADP-RIBOSE]",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-ALPHA",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11A",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1B",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-RELATED",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
